V1,V2,V3
CITED2,TFAP2A,1
RB1,CUX1,1
SIM2,ARNT,1
MITF,LEF1,1
RXRA,BRD8,1
SOX9,NR5A1,1
ZEB1,DRAP1,1
RFXAP,RFX5,1
HNRNPAB,TP63,1
ZHX1,ZHX3,1
TAF13,TAF10,1
ZSCAN32,ZNF446,1
ZNF165,KAT7,1
ZSCAN20,SCAND1,1
ZNF165,ZNF446,1
ZNF263,ZNF446,1
ZNF24,ZNF446,1
RARA,RXRB,1
SMAD4,SMAD9,1
ZNF232,ZNF446,1
ZSCAN32,ZKSCAN7,1
E2F6,TFDP1,1
ZNF263,SCAND1,1
ZNF165,SCAND1,1
ZNF24,SCAND1,1
ZSCAN9,ZNF446,1
E2F6,TFDP2,1
CEBPG,DDIT3,1
MAFA,NEUROD1,1
MAFA,PDX1,1
USF2,USF1,1
REL,RELA,1
NFKB1,RELA,1
NFKB2,RELA,1
NFKB2,NFKB1,1
RELB,NFKB1,1
RELB,NFKB2,1
RELB,RELA,1
MYC,MAX,1
BCL3,NFKB1,1
HDAC1,KDM1A,1
HMG20B,HDAC1,1
HDAC1,HDAC2,1
HMG20B,KDM1A,1
HMG20B,HDAC2,1
CTBP1,IKZF1,1
BCL3,RELB,1
RB1,HDAC1,1
CTNNB1,TCF4,1
CTNNB1,CREBBP,1
JUN,ATF2,1
CTNNB1,LEF1,1
TP53,TFAP2A,1
CTBP1,HDAC2,1
SIN3A,IKZF1,1
SMAD7,LEF1,1
CREBBP,RELA,1
YBX1,TP53,1
SMAD4,FOXO3,1
FOXO1,SMAD4,1
NR4A1,RXRA,1
CTBP1,FOXP1,1
FOXP1,FOXP4,1
FOXP2,FOXP4,1
FOXP2,CTBP1,1
SIM2,ARNT2,1
SMAD4,DLX1,1
ZHX2,ZHX3,1
NPAS2,CREBBP,1
SMAD3,NOTCH1,1
NFKB1,KLF5,1
HOPX,HDAC2,1
ESR1,XBP1,1
EGR1,CEBPB,1
HDAC1,MTA2,1
MTA2,HDAC2,1
MTA1,SIN3A,1
MTA1,MTA2,1
MTA1,HDAC1,1
MTA1,HDAC2,1
TP53,MTA2,1
YY1,MTA2,1
YY1,NOTCH1,1
NPAT,POU2F1,1
SP1,AATF,1
SP1,HDAC1,1
KMT2A,HDAC1,1
KMT2A,CTBP1,1
SMAD4,SMAD3,1
CEBPB,CREB1,1
E2F1,CREBBP,1
ZEB1,SMAD2,1
ZEB1,SMAD3,1
ZEB1,SMAD1,1
SIN3A,HDAC1,1
SIN3A,HDAC2,1
SMAD3,ATF3,1
CEBPB,RELA,1
PA2G4,HDAC2,1
HIF1A,ZNF197,1
HMGA1,SP1,1
HMGA1,CEBPB,1
CEBPB,SP1,1
MYC,TADA2A,1
SRF,CREBBP,1
HIF1A,TP53,1
KDM1A,HDAC2,1
GTF2I,KDM1A,1
GTF2I,HDAC2,1
PPARG,RB1,1
RB1,E2F1,1
NCOR1,NFKB1,1
GATAD2B,MTA2,1
GATAD2B,HDAC1,1
GATAD2B,HDAC2,1
RELA,HDAC1,1
RELA,HDAC2,1
YY1,HDAC2,1
SP1,HDAC2,1
ESR1,MTA1,1
NCOR1,SIN3A,1
YEATS4,PFDN1,1
NFKB1,HDAC1,1
TP53,HDAC1,1
RB1,HDAC2,1
RB1,ARID4A,1
MLLT10,YEATS4,1
NFIX,HDAC1,1
SP1,RB1,1
E2F4,HDAC1,1
CTBP1,HDAC1,1
TGIF1,SMAD3,1
TGIF2,SMAD3,1
CBFA2T3,CBFA2T2,1
CBFA2T3,HDAC1,1
E2F1,HDAC1,1
KLF11,HDAC1,1
SMAD2,TGIF1,1
TGIF1,SMAD1,1
SMAD2,SMAD4,1
SMAD2,HDAC1,1
SATB1,HDAC1,1
SATB1,HDAC2,1
SATB1,MTA2,1
THRA,MEF2A,1
E2F5,TFDP1,1
CREBBP,SMAD1,1
IKZF1,HDAC2,1
IKZF3,HDAC2,1
IKZF4,SIN3A,1
IKZF4,HDAC2,1
NCOR1,CBFA2T3,1
TADA3,TADA2A,1
BCL3,JUN,1
BCL3,FOS,1
CREBBP,CUX1,1
NR3C1,CREBBP,1
CREBBP,HNF1A,1
MSX1,CREBBP,1
MSX1,SP1,1
TCF3,CREBBP,1
CREBBP,ATF2,1
CREB1,CREBBP,1
JUN,CREBBP,1
CREBBP,MYB,1
TP53,CREBBP,1
CREB1,TP53,1
FOXO1,CREBBP,1
STAT1,CREBBP,1
STAT6,CREBBP,1
NFE2L2,CREBBP,1
CREBBP,SREBF1,1
SREBF2,CREBBP,1
HIF1A,CREBBP,1
STAT2,CREBBP,1
ESR1,CREBBP,1
MYBL2,CREBBP,1
KMT2A,CREBBP,1
CREBBP,TRERF1,1
CREBBP,NFATC4,1
PCGF6,E2F6,1
ESR1,PRDM2,1
RB1,PRDM2,1
ESR1,KDM5A,1
RARA,KDM5A,1
RB1,VDR,1
KDM5A,RB1,1
STAT3,SMAD1,1
IRF4,STAT6,1
IRF4,BCL6,1
FOSL1,USF1,1
FOSL1,JUN,1
JUN,FOS,1
MAFK,NFE2L2,1
PLAGL1,TP53,1
TP53,E4F1,1
ARNT,AHR,1
MEF2C,SP1,1
CEBPB,DDIT3,1
IKZF4,IKZF1,1
ESR1,NR2C2,1
CTCF,YBX1,1
CEBPB,SPI1,1
RB1,PA2G4,1
IKZF4,CTBP1,1
HMGA1,ELF1,1
ELF1,NFKB1,1
ID3,TCF4,1
RUNX1,CBFB,1
ATF3,JUND,1
SMAD3,ATF2,1
SMAD4,ATF2,1
YY1,SREBF1,1
STAT5A,ESR2,1
RELA,NOTCH1,1
NFKB1,NOTCH1,1
DDIT3,JUND,1
STAT1,STAT3,1
SRF,GATA4,1
GTF2I,MYC,1
RB1,MYC,1
RB1,AATF,1
NR3C1,POU2F1,1
NR3C1,POU2F2,1
ZHX1,NFYA,1
SP1,AHR,1
SP1,ARNT,1
E2F4,SMAD3,1
RB1,ATF2,1
ID3,TCF3,1
SRF,REL,1
SRF,RELA,1
TP53,HMGB1,1
RELA,PPARA,1
TCF3,CBFA2T3,1
MEF2C,SOX18,1
MXD1,MAX,1
RXRB,NR1H2,1
HOXA1,PKNOX1,1
PAX6,RAX,1
PAX6,SIX3,1
